Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete10_B	23.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric2	23.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric16	23.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete8_B	23.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric13	23.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete4_B	23.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric3	24.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric17	25.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete1_B	25.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete7_B	25.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric18	25.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric20	26.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric9	26.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric7	28.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Discrete9_C	29.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Discrete2_C	12.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Discrete6_B	13.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Discrete7_C	13.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Numeric16	14.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Discrete4_B	15.3
