Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A17	1.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A21	2.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A3	2.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A18	4.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A19	4.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A8	6.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A20	6.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2	8.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A16	10.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A1	11.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A5	11.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A13	14.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A7	14.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A6	14.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A9	15.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A4	16.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A14	16.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A15	16.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A11	16.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A12	16.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A10	19.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A17	1.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A21	2.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A18	3.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A19	3.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A20	5.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A3	6.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A1	11.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A10	11.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A5	12.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A11	12.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A16	12.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A2	13.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A8	13.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A12	13.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A15	13.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A14	14.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A7	14.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A13	15.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A9	16.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A4	16.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A6	17.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A17	1.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A19	2.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A21	2.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A18	4.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A3	4.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A1	6.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A20	6.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A10	8.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A8	8.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2	10.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A11	11.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A9	12.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A5	12.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A6	14.9
